Country,Province,District,VDC/Municipality,Ward No.,Tole
Nepal,Madhesh Province,PARSA,Dhobini Rural Municipality,,
Nepal,Madhesh Province,PARSA,Chhipaharmai Rural Municipality,,
Nepal,Madhesh Province,PARSA,Pakaha Mainpur Rural Municipality,,
Nepal,Madhesh Province,PARSA,Bindabasini Rural Municipality,,
Nepal,Bagmati Province,DOLAKHA,Gaurishankar Rural Municipality,,
Nepal,Bagmati Province,DOLAKHA,Bigu Rural Municipality,,
Nepal,Bagmati Province,DOLAKHA,Kalinchowk Rural Municipality,,
Nepal,Bagmati Province,DOLAKHA,Baiteshwor Rural Municipality,,
Nepal,Bagmati Province,DOLAKHA,Jiri Urban Municipality,,
Nepal,Bagmati Province,DOLAKHA,Tamakoshi Rural Municipality,,
Nepal,Bagmati Province,DOLAKHA,Melung Rural Municipality,,
Nepal,Bagmati Province,DOLAKHA,Shailung Rural Municipality,,
Nepal,Bagmati Province,DOLAKHA,Bhimeshwor Urban Municipality,,
Nepal,Bagmati Province,SINDHUPALCHOK,Bhotekoshi Rural Municipality,,
Nepal,Bagmati Province,SINDHUPALCHOK,Jugal Rural Municipality,,
Nepal,Bagmati Province,SINDHUPALCHOK,Panchpokhari Thangpal Rural Municipality,,
Nepal,Bagmati Province,SINDHUPALCHOK,Helambu Rural Municipality,,
Nepal,Bagmati Province,SINDHUPALCHOK,Melanchi Urban Municipality,,
Nepal,Bagmati Province,SINDHUPALCHOK,Indrawoti Rural Municipality,,
Nepal,Bagmati Province,SINDHUPALCHOK,Choutara Sangachowkgadhi Urban Municipality,,
Nepal,Bagmati Province,SINDHUPALCHOK,Balephi Rural Municipality,,
Nepal,Bagmati Province,SINDHUPALCHOK,Bahrabise Urban Municipality,,
Nepal,Bagmati Province,SINDHUPALCHOK,Tripurasundari Rural Municipality,,
Nepal,Bagmati Province,SINDHUPALCHOK,Lisankhu Pakhar Rural Municipality,,
Nepal,Bagmati Province,SINDHUPALCHOK,Sunkoshi Rural Municipality,,
Nepal,Bagmati Province,RASUWA,Gosaikunda Rural Municipality,,
Nepal,Bagmati Province,RASUWA,Aamachhodingmo Rural Municipality,,
Nepal,Bagmati Province,RASUWA,Uttargaya Rural Municipality,,
Nepal,Bagmati Province,RASUWA,Shuva Kalika Rural Municipality,,
Nepal,Bagmati Province,RASUWA,Naukunda Rural Municipality,,
Nepal,Bagmati Province,DHADING,Rubi Valley Rural Municipality,,
Nepal,Bagmati Province,DHADING,Khaniyabas Rural Municipality,,
Nepal,Bagmati Province,DHADING,Ganga Jamuna Rural Municipality,,
Nepal,Bagmati Province,DHADING,Tripurasundari Rural Municipality,,
Nepal,Bagmati Province,DHADING,Netrawati Dabjong Rural Municipality,,
Nepal,Bagmati Province,DHADING,Nilkhantha Urban Municipality,,
Nepal,Bagmati Province,DHADING,Jwalamukhi Rural Municipality,,
Nepal,Bagmati Province,DHADING,Siddhalek Rural Municipality,,
Nepal,Bagmati Province,DHADING,Benighat Rorang Rural Municipality,,
Nepal,Bagmati Province,DHADING,Gajuri Rural Municipality,,
Nepal,Bagmati Province,DHADING,Galchhi Rural Municipality,,
Nepal,Bagmati Province,DHADING,Thakre Rural Municipality,,
Nepal,Bagmati Province,DHADING,Dhunibenshi Urban Municipality,,
Nepal,Bagmati Province,NUWAKOT,Dupcheshwor Rural Municipality,,
Nepal,Bagmati Province,NUWAKOT,Tadi Rural Municipality,,
Nepal,Bagmati Province,NUWAKOT,Suryagadhi Rural Municipality,,
Nepal,Bagmati Province,NUWAKOT,Bidur Urban Municipality,,
Nepal,Bagmati Province,NUWAKOT,Kispang Rural Municipality,,
Nepal,Bagmati Province,NUWAKOT,Myagang Rural Municipality,,
Nepal,Bagmati Province,NUWAKOT,Tarakeshwor Rural Municipality,,
Nepal,Bagmati Province,NUWAKOT,Belkotgadhi Urban Municipality,,
Nepal,Bagmati Province,NUWAKOT,Likhu Rural Municipality,,
Nepal,Bagmati Province,NUWAKOT,Panchakanya Rural Municipality,,
Nepal,Bagmati Province,NUWAKOT,Shivapuri Rural Municipality,,
Nepal,Bagmati Province,NUWAKOT,Kakani Rural Municipality,,
Nepal,Bagmati Province,KATHMANDU,Shankharapur Urban Municipality,,
Nepal,Bagmati Province,KATHMANDU,Kageshwori Manahara Urban Municipality,,
Nepal,Bagmati Province,KATHMANDU,Gokarneshwor Urban Municipality,,
